N1,N2,POS1,POS2,reviews.txt
(,笑,名詞-名詞,サ変接続-固有名詞,1
(,ﾛ,名詞-名詞,サ変接続-一般,1
),フォント,名詞-名詞,サ変接続-一般,1
...。,美的,名詞-名詞,サ変接続-形容動詞語幹,1
1,人,名詞-名詞,数-接尾,2
2,ほう,名詞-名詞,数-非自立,1
2,巻,名詞-名詞,数-接尾,3
2,年,名詞-名詞,数-接尾,1
2,方,名詞-名詞,数-非自立,1
445,ページ,名詞-名詞,数-接尾,1
;,ﾉ,名詞-名詞,サ変接続-一般,1
Apple,成長,名詞-名詞,一般-サ変接続,1
I,II,名詞-名詞,一般-固有名詞,1
I,ほう,名詞-名詞,一般-非自立,1
IBM,ゼロックス,名詞-名詞,固有名詞-固有名詞,1
II,I,名詞-名詞,一般-一般,1
II,違う,名詞-動詞,固有名詞-自立,1
LSD,素晴らしい,名詞-形容詞,固有名詞-自立,1
Mac,ユーザ,名詞-名詞,固有名詞-一般,1
NeXT,例,名詞-名詞,一般-一般,1
PC,今,名詞-名詞,一般-副詞可能,1
PC,根本,名詞-名詞,一般-一般,1
iPhone,使う,名詞-動詞,一般-自立,2
iPhone,誕生,名詞-名詞,一般-サ変接続,1
Ⅱ,気,名詞-名詞,数-一般,1
Ⅱ,読む,名詞-動詞,数-自立,2
あなた,どっち,名詞-名詞,代名詞-代名詞,1
ある,いい,動詞-形容詞,自立-自立,1
ある,いい,動詞-形容詞,自立-非自立,1
ある,しれる,動詞-動詞,自立-自立,1
ある,それ,動詞-名詞,自立-代名詞,1
ある,アップル,動詞-名詞,自立-一般,1
ある,一,動詞-名詞,自立-数,1
ある,人物,動詞-名詞,自立-一般,1
ある,仕事,動詞-名詞,自立-サ変接続,1
ある,惹く,動詞-動詞,自立-自立,1
ある,絵,動詞-名詞,自立-一般,1
いい,の,形容詞-名詞,自立-非自立,1
いい,デザイン,形容詞-名詞,非自立-サ変接続,1
いい,意味,形容詞-名詞,自立-サ変接続,1
いい,誰,形容詞-名詞,非自立-代名詞,1
いく,星,動詞-名詞,非自立-一般,1
いる,II,動詞-名詞,非自立-一般,1
いる,PC,動詞-名詞,非自立-一般,1
いる,こと,動詞-名詞,非自立-非自立,1
いる,ところ,動詞-名詞,非自立-非自立,1
いる,の,動詞-名詞,非自立-非自立,2
いる,ジョブズ,動詞-名詞,非自立-固有名詞,1
いる,一緒,動詞-名詞,非自立-サ変接続,1
いる,人,動詞-名詞,非自立-一般,1
いる,人物,動詞-名詞,自立-一般,1
いる,人物,動詞-名詞,非自立-一般,1
いる,会社,動詞-名詞,自立-一般,1
いる,似る,動詞-動詞,非自立-自立,2
いる,嫌い,動詞-名詞,自立-一般,1
いる,思う,動詞-動詞,自立-自立,1
いる,書く,動詞-動詞,非自立-自立,1
いる,泣き虫,動詞-名詞,非自立-一般,1
いる,生まれ,動詞-名詞,非自立-一般,1
いる,系統,動詞-名詞,非自立-一般,1
いる,読む,動詞-動詞,非自立-自立,1
いる,鏡,動詞-名詞,非自立-一般,1
いる,面白い,動詞-形容詞,非自立-自立,2
うる,バイオグラフィー,動詞-名詞,非自立-一般,1
おく,一,動詞-名詞,非自立-数,1
おもう,PC,動詞-名詞,自立-一般,1
かかる,しまう,動詞-動詞,自立-非自立,1
かなり,読み応え,名詞-名詞,一般-一般,1
がち,本,名詞-名詞,接尾-一般,1
きつい,さ,形容詞-名詞,自立-接尾,1
きる,ジョブス,動詞-名詞,非自立-一般,1
くる,こと,動詞-名詞,非自立-非自立,1
くる,の,動詞-名詞,非自立-非自立,1
くる,創業,動詞-名詞,非自立-サ変接続,1
くる,話,動詞-名詞,非自立-サ変接続,1
こい,ここ,形容詞-名詞,自立-代名詞,1
ここ,ひどい,名詞-形容詞,代名詞-自立,1
ここ,引用,名詞-名詞,代名詞-サ変接続,1
こだわり,すごい,名詞-形容詞,一般-自立,1
こだわり,画期的,名詞-名詞,一般-形容動詞語幹,1
こだわる,点,動詞-名詞,自立-非自立,1
こっち,疲れる,名詞-動詞,代名詞-自立,1
こと,すばらしい,名詞-形容詞,非自立-自立,1
こと,できる,名詞-動詞,非自立-自立,2
こと,ない,名詞-形容詞,非自立-自立,2
こと,なる,名詞-動詞,非自立-自立,1
こと,わかる,名詞-動詞,非自立-自立,2
こと,ジョブズ,名詞-名詞,非自立-固有名詞,1
こと,スティーブ,名詞-名詞,非自立-固有名詞,1
こと,トイ,名詞-名詞,非自立-固有名詞,1
こと,人,名詞-名詞,非自立-一般,1
こと,利用,名詞-名詞,非自立-サ変接続,1
こと,印象深い,名詞-形容詞,非自立-自立,1
こと,意外,名詞-名詞,非自立-形容動詞語幹,1
こと,成し遂げる,名詞-動詞,非自立-自立,1
こと,理解,名詞-名詞,非自立-サ変接続,1
こと,生まれる,名詞-動詞,非自立-自立,1
こと,知る,名詞-動詞,非自立-自立,1
こと,自分,名詞-名詞,非自立-一般,1
こと,証明,名詞-名詞,非自立-サ変接続,1
これ,癖,名詞-名詞,代名詞-一般,1
これ,読む,名詞-動詞,代名詞-自立,1
これ,面白い,名詞-形容詞,代名詞-自立,1
さ,目立つ,名詞-動詞,接尾-自立,1
さ,話,名詞-名詞,接尾-サ変接続,1
させる,一,動詞-名詞,接尾-数,1
さまざま,失敗,名詞-名詞,形容動詞語幹-サ変接続,1
しまう,(,動詞-名詞,非自立-サ変接続,1
しれる,それ,動詞-名詞,自立-代名詞,1
しれる,慕う,動詞-動詞,自立-自立,1
しれる,縦,動詞-名詞,自立-一般,1
すごい,ところ,形容詞-名詞,自立-非自立,1
すごい,僕,形容詞-名詞,自立-代名詞,1
すごい,変人,形容詞-名詞,自立-一般,1
すばらしい,こと,形容詞-名詞,自立-非自立,1
する,Apple,動詞-名詞,自立-一般,1
する,いる,動詞-動詞,自立-非自立,5
する,こと,動詞-名詞,自立-非自立,3
する,する,動詞-動詞,自立-自立,1
する,てる,動詞-動詞,自立-非自立,1
する,の,動詞-名詞,自立-非自立,1
する,れる,動詞-動詞,自立-接尾,3
する,ろう,動詞-名詞,自立-一般,1
する,アップル,動詞-名詞,自立-一般,1
する,スティーブ,動詞-名詞,自立-固有名詞,2
する,一,動詞-名詞,自立-数,1
する,人物,動詞-名詞,自立-一般,1
する,出来る,動詞-動詞,自立-自立,1
する,同ずる,動詞-動詞,自立-自立,1
する,対象,動詞-名詞,自立-一般,1
する,怒り,動詞-名詞,自立-一般,1
する,思う,動詞-動詞,自立-自立,1
する,性格,動詞-名詞,自立-一般,1
する,感じる,動詞-動詞,自立-自立,1
する,感想,動詞-名詞,自立-一般,1
する,新居,動詞-名詞,自立-一般,1
する,日本人,動詞-名詞,自立-一般,1
する,極端,動詞-名詞,自立-形容動詞語幹,1
する,物,動詞-名詞,自立-一般,1
する,統合,動詞-名詞,自立-サ変接続,1
する,読む,動詞-動詞,自立-自立,1
する,載せる,動詞-動詞,自立-自立,1
する,辛い,動詞-形容詞,自立-自立,1
そこ,憧れる,名詞-動詞,代名詞-自立,1
それ,信じる,名詞-動詞,代名詞-自立,1
それ,分かる,名詞-動詞,代名詞-自立,1
それ,困難,名詞-名詞,代名詞-形容動詞語幹,1
それ,成功,名詞-名詞,代名詞-サ変接続,1
それ,本性,名詞-名詞,代名詞-一般,1
たくさん,ある,名詞-動詞,副詞可能-自立,1
たち,人間,名詞-名詞,接尾-一般,1
たち,似る,名詞-動詞,接尾-自立,1
たち,集まる,名詞-動詞,接尾-自立,1
たび,思う,名詞-動詞,非自立-自立,1
だめ,学べる,名詞-動詞,形容動詞語幹-自立,1
だらけ,ホント,名詞-名詞,接尾-一般,1
ちゃう,の,動詞-名詞,非自立-非自立,1
つくる,文明,動詞-名詞,自立-一般,1
つける,られる,動詞-動詞,非自立-接尾,1
づくり,繋がる,名詞-動詞,接尾-自立,1
てこ,人,名詞-名詞,一般-一般,1
てる,こと,動詞-名詞,非自立-非自立,2
てる,よう,動詞-名詞,非自立-非自立,1
てる,下っ端,動詞-名詞,非自立-一般,1
てる,所,動詞-名詞,非自立-非自立,1
てる,部分,動詞-名詞,非自立-一般,1
できる,あなた,動詞-名詞,自立-代名詞,1
できる,こと,動詞-名詞,自立-非自立,1
できる,ん,動詞-名詞,自立-非自立,2
できる,人,動詞-名詞,自立-一般,1
できる,天才,動詞-名詞,自立-一般,1
できる,話,動詞-名詞,自立-サ変接続,1
でる,こっち,動詞-名詞,非自立-代名詞,1
とく,Ⅱ,動詞-名詞,非自立-数,1
ところ,ある,名詞-動詞,非自立-自立,1
ところ,よう,名詞-名詞,非自立-非自立,1
ところ,自体,名詞-名詞,非自立-一般,1
とんでも,男,名詞-名詞,ナイ形容詞語幹-一般,1
どっち,選ぶ,名詞-動詞,代名詞-自立,1
どん,引き,名詞-名詞,一般-接尾,1
