,TERM,POS1,POS2,reviews.txt
1,(,名詞,サ変接続,2
2,),名詞,サ変接続,1
3,...。,名詞,サ変接続,1
4,1,名詞,数,2
5,2,名詞,数,6
6,445,名詞,数,1
7,;,名詞,サ変接続,1
8,Apple,名詞,一般,1
9,I,名詞,一般,2
10,IBM,名詞,固有名詞,1
11,II,名詞,一般,1
12,II,名詞,固有名詞,1
13,LSD,名詞,固有名詞,1
14,Mac,名詞,固有名詞,1
15,NeXT,名詞,一般,1
16,PC,名詞,一般,2
17,iPhone,名詞,一般,3
18,Ⅱ,名詞,数,4
19,あなた,名詞,代名詞,1
20,ある,動詞,自立,10
21,いい,形容詞,自立,3
22,いい,形容詞,非自立,2
23,いく,動詞,非自立,1
24,いる,動詞,自立,4
25,いる,動詞,非自立,22
26,うる,動詞,非自立,1
27,おく,動詞,非自立,1
28,おもう,動詞,自立,1
29,かかる,動詞,自立,1
30,かなり,名詞,一般,1
31,がち,名詞,接尾,1
32,きつい,形容詞,自立,1
33,きる,動詞,非自立,1
34,くる,動詞,非自立,5
35,こい,形容詞,自立,1
36,ここ,名詞,代名詞,2
37,こだわり,名詞,一般,2
38,こだわる,動詞,自立,1
39,こっち,名詞,代名詞,1
40,こと,名詞,非自立,21
41,これ,名詞,代名詞,3
42,さ,名詞,接尾,2
43,させる,動詞,接尾,1
44,さま,名詞,接尾,1
45,さまざま,名詞,形容動詞語幹,1
46,しまう,動詞,非自立,1
47,しれる,動詞,自立,3
48,すごい,形容詞,自立,4
49,すばらしい,形容詞,自立,1
50,する,動詞,自立,39
51,そこ,名詞,代名詞,1
52,それ,名詞,代名詞,5
53,たくさん,名詞,副詞可能,1
54,たち,名詞,接尾,3
55,たび,名詞,非自立,1
56,だめ,名詞,形容動詞語幹,1
57,だらけ,名詞,接尾,1
58,ちゃう,動詞,非自立,1
59,つくる,動詞,自立,1
60,つける,動詞,非自立,1
61,づくり,名詞,接尾,1
62,てこ,名詞,一般,1
63,てる,動詞,非自立,6
64,できる,動詞,自立,7
65,でる,動詞,非自立,1
66,とく,動詞,非自立,1
67,ところ,名詞,非自立,3
68,とんでも,名詞,ナイ形容詞語幹,1
69,どっち,名詞,代名詞,1
70,どん,名詞,一般,1
71,ない,形容詞,自立,11
72,なげうつ,動詞,自立,1
73,なる,動詞,自立,11
74,の,名詞,非自立,22
75,はた,名詞,一般,1
76,ひどい,形容詞,自立,1
77,ほう,名詞,非自立,2
78,みる,動詞,非自立,2
79,めくる,動詞,自立,1
80,もったいない,形容詞,自立,1
81,もと,名詞,非自立,1
82,もとづく,動詞,自立,1
83,もの,名詞,非自立,1
84,もん,名詞,非自立,1
85,やすい,形容詞,非自立,1
86,やりとげる,動詞,自立,1
87,やる,動詞,自立,3
88,よい,形容詞,自立,1
89,よい,形容詞,非自立,1
90,よう,名詞,非自立,7
91,られる,動詞,接尾,2
92,れる,動詞,接尾,13
93,ろう,名詞,一般,1
94,わかる,動詞,自立,5
95,ん,名詞,非自立,3
96,アップル,名詞,一般,12
97,アメリカ,名詞,固有名詞,1
98,アート,名詞,一般,1
99,インタビュー,名詞,サ変接続,1
100,ウィンドウズ,名詞,固有名詞,1
101,ウォルター・アイザックソン,名詞,一般,1
102,エピソード,名詞,一般,1
103,オサレ,名詞,一般,1
104,オープン,名詞,形容動詞語幹,1
105,カバー,名詞,サ変接続,1
106,カリグラフィー,名詞,一般,1
107,ギャップ,名詞,一般,1
108,ゲイツ,名詞,固有名詞,1
109,コスト,名詞,一般,1
110,コメント,名詞,サ変接続,1
111,コンピュータ,名詞,一般,1
112,ジョブス,名詞,一般,2
113,ジョブズ,名詞,固有名詞,21
114,スケッチ,名詞,サ変接続,1
115,スティーブ,名詞,固有名詞,6
116,スティーブジョブズ,名詞,一般,5
117,ストーリー,名詞,一般,1
118,スピリチュアリティ,名詞,一般,1
119,ゼロックス,名詞,固有名詞,1
120,デザイン,名詞,サ変接続,3
121,デジタル,名詞,一般,1
122,トイ,名詞,固有名詞,1
123,ナ,名詞,一般,1
124,バイオグラフィー,名詞,一般,1
125,ビックリ,名詞,サ変接続,1
